userName,score,at,content
Siti Amellia Ayu Utami,5,2025-08-05 05:00:15,"aplikasi nya sangat membantu kami yang ingin membaca melalui digital, sangat bermanfaat, semoga koleksinya terus bertambah dan aplikasinya semakin lancar"
aerisea,5,2025-08-01 01:49:41,"sejauh ini appnya bagus. koleksi buku juga lumayan banyak. minusnya cuman di durasi peminjaman yang terlalu singkat, hanya seminggu. semoga kedepannya bisa diperpanjang."
Najwa khairunnisa,3,2025-07-29 07:08:14,nunggu konfirmasi email sama sandi biar bisa login lama bangettt😭😭😭apalah
Nikita Masaling,1,2025-07-29 03:59:36,"Untuk ukuran kementrian Kominfo, pembuatan akun memakan waktu sangat lama dan tidak masuk akal. Alih-alih menggunakan akun Google langsung, Kominfo malah memilih untuk menggunakan cara manual dalam pembuatan akun yang tidak sejalan dengan tujuan digitalisasi yang seharusnya diterapkan pula pada tahap pembuatan akun."
I'm Potatoe Chips,4,2025-07-20 08:51:14,"masih suka nge lag, di hp maupun di ereader ku, jadi sekarang hanya ku pakai di hp samsung ku saja."
Dinda Hanifah,1,2025-07-07 08:42:21,"masuknya lama, harus verifikasi email dulu dan jg verifikasinya lama"
Nana Y,4,2025-07-06 11:13:05,"kalo ada fitur bagikan buku, pasti bagus. ini ga ada. mau screenshot ngeri hahaha"
Juandita Cahaya Nindri,3,2025-07-05 11:05:48,sayang gak bisa dibaca offline;)
Nabila Yumna S,5,2025-06-26 11:24:38,bukunya lengkapp
Sin B,1,2025-06-14 15:13:03,kenapa ga kompatibel di Xiaomi tab pad 7 ya? tolong perbaiki supaya pengalaman baca jadi jauh lebih enak dibanding pake hp
Kevin Nanlohy,4,2025-06-01 17:10:07,"tolong tambahkan highlight permanen pada buku, supaya ketika dibuka lagi kita bisa lihat lagi bagian yg kita highlight."
Zaky Misyadi,1,2025-05-31 11:03:45,"kenapa saya ga bisa masuk dengan kata kata ""kredential yang berbeda"" maksudnya apa?? dimana saya bisa melapor akun saya kaya gini??"
Azwan Ramadhan,1,2025-05-26 13:39:49,ga bisa masuk weh pdhl pen baca buku gw🗿🗿
Dian Nurhandayani,1,2025-04-22 01:00:25,"ko ga bisa masuk sih, dan cuma ada pilihan login aja, ga ada pilihan daftar. aneh banget"
Taengoo Kim,5,2025-04-07 07:03:57,tiap bulan update buku baru dong min
fahmankemuning permai,3,2025-04-06 12:26:02,daftarnya gimna ka?
Mira Melati,5,2025-03-31 04:11:14,"Koleksi-koleksi bukunya menarik dan banyak juga buku-buku populer yang bikin tertarik untuk membacanya. Masukannya, mungkin jumlah stok buku per judul, utamanya yg populer, bisa ditambah sehingga tidak antre terlalu lama. Semoga ke depannya koleksi bukunya bisa ditambah dan masuk juga buku-buku kekinian supaya akses membaca masyarakat umum semakin luas."
Sayyidah Zahratul Aulia,1,2025-03-31 02:03:44,pendaftaran ga otomatis dan lama. sudah 4 bulan saya daftar tapi masih blm dikirimi akun
Nilna Fauziyah,1,2025-03-01 06:48:53,"Hanya ada fitur 'masuk' saja tak bisa 'daftar' atau 'lupa sandi'. Sebenarnya dari desain logo pun kurang bagus, walaupun UI-nya bagusan sekarang tapi percuma kalau ga bisa dipakai. Masih mendingan versi dulu yang namanya Eperpusdikbud walaupun UI nya biasa tapi bisa dipakai. Semoga dev baca."
Lia,1,2025-02-13 04:03:55,Keyboard tidak mau muncul
Chlaudia Nurhadi,1,2025-01-22 06:23:54,"Saya sudah antri mendaftar untuk mendapatkan password, lmyn lama sekitar 4 bulan. Setelah mendapatkan password, tidak bisa dibuka. Katanya password/ emailnya salah? Ada yang senasib?"
Sekar Wening Wahyuni,1,2025-01-10 00:03:48,"Appnya gak bisa buat login ini gimana, masa mau ngetik buat isi e mail keyboardnya cuma muncul 1 dtk trs hilang lagi Trs ini gue ngetiknya begimana"
Tata Rizqiyah,1,2025-01-08 07:28:15,"Apalah kominfo ini, udah ada akun tiba2 logout dan berusaha log in dengan pasword yang sama email yg sama g bisa juga. G ada pemulihan email atau apa kek. Pernah dengar kalau akun tidak d gunakan selama 3 bulan akan d log out karna banyak yg antri masuk aplikasinya. What? Ak pakai rbk hampir tiap hari dan tetep aja d log out. Hadehhh... Dah lah g ada yg bisa d harapkan dr pelayanan pemerintah"
Kartika Dewi,1,2025-01-07 01:13:35,"Pertama kali buka apps bingung karena tidak ada pilihan untuk mendaftar, setelah mencoba daftar sesuai arahan dan lihat di waiting list, ternyata waiting list tersebut sudah tidak diupdate sejak awal 2024. Lalu beberapa hari yang lalu dapat email kalau kuota untuk anggota sudah penuh jadi akun saya tetap masuk waiting list. CATATAN buat apa dibuat aplikasi kalau penggunanya dibuat terbatas dan dipersulit seperti itu. Untuk aplikasi yg dibuat pemerintah, tolong diperbaiki lagi. Sangat Kecewa."
Titah Meiladewi,1,2025-01-02 13:04:33,"Ga bisa daftar, langsung disuruh masuk itupun ngelag parah. Ga bisa ngetik juga, aplikasi aneh. Kalo ga niat bikin gausah sekalian. Bikin orang jadi males baca aja, ini kalo ada penilaian minus, gue kasih -100000000"
Maharani Setiawan,1,2024-12-28 03:26:26,"Br Download ni app. Dan gaada opsi Daftar,adanya opsi masuk. Ya auto uninstall, daftar aja gabisa. App yang aneh bgt"
Dini Anggis,5,2024-12-12 06:17:15,Terbaik
Retno Adiningtyas,1,2024-12-11 14:51:35,Udah install tapi kok gak bisa masuk ya? Gak disuruh daftar juga
Salsa Salsa,5,2024-11-10 02:21:58,"dear pengembang aplikasi RBK Terima kasih sudah membuat aplikasi ini untuk kami agar kami bisa mendapatkan akses ebook gratis tanpa perlu mencari ebook bajakan yang banyak beredar di internet. Tetapi satu yang saya sorot, adalah ketika saya membaca buku format EPUB, tidak ada markah atau bookmark untuk mengetahui sampai mana saya membaca buku itu, saya harap pengembang bisa menambahkan fitur bookmark agar pembaca bisa lebih nyaman untuk membaca. Saya harap saran saya bisa dibaca. Terima Kasih."
Sinta Nuria,5,2024-10-23 02:56:08,"Developer, tolong bikin fitur baca scroll/gulir kebawah."
Cassia Quinn,1,2024-09-30 04:43:45,"KOK SAYA GAK BISA DAFTAR??? MAU LOGIN SUSAH, GIMANA INI"
Winda Apriani,1,2024-09-26 06:09:05,"Tolong dong di perbaiki, saya baru donlod tapi setiap mau login selalu ga bisa"
Annisa Alfi,4,2024-09-24 02:06:04,"(tiba2 log out sendiri dan ga bisa masuk lagi udah nyoba berkali2 failed log in, udah hapus cache, uninstall, pdhal email sma pass ga beda dan ga dirubah) yg punya masalah kaya saya, tinggal email aja ya ke acc email yg sama saat pertama kali, saya komplain malem pagi nya langsung dibales dan sudah bisa dibantu log in lagi. Terima kasih sudah gercepppp saya tambah bintang nya jadi 4 ya"
Divi yuni Sutra,1,2024-09-07 21:09:31,Aduhhhh
ANAK GARUDA (Rizky),1,2024-08-29 11:50:49,"Manajem3n burukk,,, judi online da di blok,, trading di blok,,, bau korupsi di dinas ne,,"
Alang Zheng,1,2024-08-19 00:44:32,"Susah daftarnya, info link register RBK hanya ada di Twitter yang mana kita harus ketik manual, link nya ga to the point pula, panjang sulit diingat pula. Saya juga lagi sibuk, mending saya ga usah aja pakai RBK ini, aplikasinya gak niat, daftar aja musti di tempat lain. Aplikasi sekelas pemerintahan memang rata-rata ribet, hanya memadamkan niat untuk melanjutkan hobi membaca."
Reski Ana Dewi,2,2024-07-30 23:42:41,"Kak tolong di-update lagi dong saya jadi malas membaca karena tulisannya kecil kalau diperbesar untuk balik halaman harus diperkecil lagi baru bisa pindah halaman (jadinya repot, diperbesar perkecil). Versi dulu udah bagus padahal bisa di scroll kebawah."
Kontol Zilong,1,2024-07-27 11:22:20,Harusnya bintang minus
Farhan D,4,2024-07-19 07:10:33,"Pendaftaran nya lumayan lama, gaada notifikasi, bukunya update, tolong update selanjutnya adain notifikasi"
Neiraya Hafa Pramesti,1,2024-07-19 04:23:38,tidak bisa masuk
Queen Zi,1,2024-07-18 18:11:32,ini kok gak ada pendaftaran akun baru?
Ano Marthadora P.,4,2024-07-18 14:10:19,"Koleksi bukunya banyak bangett, tp harus sabar antri biar dapat akun, klau bisa sediakan fasilitas membaca saat offline kalau bukunya sudah diunduh ya biar bisa baca buku kapan pun dan dimana pun, makasih developer"
Nayla Izzihni,4,2024-07-11 05:51:09,"Ngantri daftar akun 3 bulan, worth it sih rapi aplikasinya, banyak buku2 up to date, saran yah tolong dong adain fiitur baca versi gelap dong, makasih ya"
Disha Zhang,4,2024-07-10 07:52:13,Tolong update RBK agar format epub menjadi bisa di-bookmark. Selebihnya oke.
Teja Ahmad Nurnantian 0003,5,2024-06-28 22:20:01,Baik
Supardi Ismail,5,2024-06-28 06:09:46,"Tambahin manga atau komiknya lagi ya, plisss bangett. Seru banget baca komiknya, kindaichi tambahin, terus one shoot banyakin, tambahin manga genre sport juga jangan cuma romance🥰"
Y Team,5,2024-06-27 02:28:49,aplikasi yang bagus dan sangat membantu untuk yg suka baca tapi gak punya uang buat beli buku fisik terimakasih karna sudah menerima pendaftaran saya ya kak 🙏🏼🙏🏼 smoga di perbanyak koleksi buku2 nya dan aplikasinya semakin maju dan ber6
M Iqbal Nur Romadlon,2,2024-06-25 13:48:38,"Copy an dikit, terus pas bukunya kembali mau pinjam lagi susah"
12PM,1,2024-06-22 08:30:14,sampah
Jul Nursadi,1,2024-06-14 14:25:09,gimana cara daftarnya.? tidak ada tombol daftar.
Ester Lastri Nababan,5,2024-06-10 07:43:59,Keren sangat membangkitkan semangat berliterasi
Imam Farouq,5,2024-06-07 03:27:59,"Alhamdulillah akhirnya setelah seribu purnama bisa juga akses ini aplikasi, setelah saya coba ternyata nyaman banget baca di RBK, sukses selalu, semoga kedepannya bisa diakses oleh siapapun tanpa harus menunggu lama"
Maulia Putrii,5,2024-06-07 03:25:18,Bukunya up to date. Kalo req lewat email juga cepat diberi tanggapan nya. Sayang belum ada notifikasi nya jd sering terlewat kalo ada penambahan buku baru atau stok buku lama.
063_Destri Arsinta,5,2024-06-03 07:51:31,Memudahkan membaca buku
natalie glorya adventina,5,2024-06-01 00:36:01,"Aplikasi nya bagus, pendaftaran nya juga cepat. Kaget bgt, kirain lama ternyata enggak. Thank uuuuuu. Jadi memudahkan mau baca buku legal."
Artika Dewi,1,2024-05-26 00:51:40,GABISA LOGIN MASA 🥹
Upit Uswatun Hasanah,3,2024-05-17 15:54:55,"Gak bisa login, notifnya katanya salah pw salah un, udah coba reset tetep tidak bisa login, helpp dong minceeu"
Howw,1,2024-05-14 13:53:56,PARAH BNGT
Reikha Priliani A,1,2024-05-11 04:35:22,"Sudah lama saya gak buka aplikasinya, pas mau pake ternyata akunnya udah log out sendiri, saat mau log in lagi malah ada warning user tidak bisa akses dengan kredential yg tersedia. gak paham"
Dian Novianti,1,2024-05-07 03:29:43,"Kirim email buat dapat akses, nggak ada respon. Tgl 4 Mei 2024 kirim, sampai detik nulis ulasan ini, nggak ada tanggapan. Dah lah, uninstall aja. 😐"
Brillian Tsabita,2,2024-05-05 04:52:18,"Susah sekali untuk login, saya tekan kolom tapi keyboardnya tidak muncul"
Cut Gusti Ayu Esmeralda Putri,5,2024-04-29 13:29:52,Rapi banget komunikasinya 👩‍❤️‍👨
Mcchiato,5,2024-04-29 11:29:32,"Baguusss, koleksi bukunya terutama novel ada banyak dan selalu bertambah"
inyong siroh,1,2024-04-03 18:37:54,⭐⭐⭐⭐⭐
Nya Nya,1,2024-04-02 09:33:01,Saya jadi tidak bisa login kembali setelah aplikasi di update
Ervira Damayanti,2,2024-03-31 16:46:42,"lebih suka rbk sebelum diupdate, sekarang loading terus, udah klik antri tapi buku ga masuk ke antrian, KEMBALIKAN RBK VERSI LAMAAA"
