userName,score,at,content
achmad natsir,5,2026-01-18 06:17:04,saya udah namatin game ini jujur game ini seru tapi level 9 dibuat lebih ngotak dulu gua make 50 bodyguard masih kalah
ariya ariya,1,2026-01-12 11:31:37,game nya bagus ku kasih bintang lima
Gilang Prananta,5,2026-01-05 13:32:17,game nya molyono jir
Adil Mubaroook,5,2025-12-30 17:01:49,pria solo itu membawa beceng baiklah kan ku beri kau bintang lima
senyum craft2,5,2025-12-29 11:45:27,wow jangan lupa tambah kan fitur nanam sawit nya ya wok dan tambah kan juga Bahlil udah itu aja wok
Muhammad Farhan,5,2025-12-29 11:06:01,aku ngansik bintang 5 karena bagus dan juga gak selalu tidak iklan 😁😁😁
Aim Eim,1,2025-12-28 09:58:14,game burik pelindung kita hilang kalau ditinggal
Misna Hayati,2,2025-12-25 23:35:20,dipaksa rate
Pengguna Google,5,2025-12-25 10:01:54,tambahkan karakter bahlil
Nozan Nozan,5,2025-12-25 09:41:29,"seru banget gamenya walapun simpel👍👍 tapi hd in dikit lagi grafiknya, selebihnya udah bagus kata aku"
Vhico Febylio Lobo,5,2025-12-20 12:35:12,tambah Bahlil bang🗿
Pengguna Google,5,2025-12-20 02:58:07,gang seru
Wahyu Purnama,5,2025-12-18 05:20:06,"Gw udah selesaikan semua level, levelnya kurang banyak tambahin lah levelnya gamenya seru dan bagus tapi levelnya kok cuman 9 sama tambahin final boss kek atau apa kurang menantang"
Akunbaru,5,2025-12-16 00:37:29,hidup jokowiiiiii
Oppo Atelusiji,5,2025-12-13 03:20:41,game ini sangat bagus tapi tolong di abdet lagi
Yuli Ani,1,2025-12-11 00:10:31,gamenya gak ngotak
Farhan Hary salim,4,2025-12-08 10:20:46,"saran gw si, ni game bagus sebenernya, tapi tambahin fitur semacem dash yg bisa Dodge serangan musuh gitu bagus harusnya, di stage 3 aja gw kewalahan ngelawan musuh rame gitu, soalnya animasi serangan yg gabisa di cancel, ngebikin gw ditembakin Mulu Ampe mati"
Aplh Gaje,1,2025-12-07 09:06:42,"game nya bagus, simple, ramah, seru, cocok main sama sepupu. (tapi boonk😹😹)"
Mikail Al,3,2025-12-07 07:49:57,mantap ada fufufafa tapi ada sahroni gk mati mati
Raditya Z,1,2025-12-07 03:56:23,"game nya bagus banget sumpah,gua sampe ga download"
Kanjut Badag,5,2025-12-06 17:16:33,"Bagus, tapi kalo bisa pas musuhnya kelempar kebelakang masih bisa dipukul biar bisa combo kayak dmc, kan gokil sama juga bisa combo aerial juga pas lagi di udara mwehehehehe"
Vanzi,5,2025-12-05 10:43:29,game nya sangat bagus dan saya ingin kesoli sebagai rakyat biasa
Ishak Simanjuntak,1,2025-12-03 07:45:04,"game nya bagus banget bg , jangan semangat 😁😹"
Satria Satria pratama,1,2025-11-15 17:48:49,"game apa ini berad banget. jangan donglot bagi yang hapenya kentang...... (btw, bintang lima. good game)"
Ness Thyyy,3,2025-11-08 11:01:38,lebih seru kalo gamenya bisa mabar
Rivaldy Rivaldy,2,2025-11-06 05:35:46,game nya bagus kece badai jadi gw kasih bintang 10 karna gw sigggma mewing skibidiy 😹😹🤓🤓🤓🤓🤩🤩💀💀🥶🥶🤫🤫🤫🤫🥴🥴🥴😋😋😋😋😹🤓😹🤓😹🤓🤓😹🤓
